index,모델 버전,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
26152,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1010271,20-Feb,Feb,20,5256.082445880239,상온,B2B,210140100,X,A
114134,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2013191,20-May,May,20,-196.2235332998223,냉장,미지정,450100110,O,C
29156,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1010825,20-Jan,Jan,20,987.1672650813048,상온,미지정,370120110,X,B
101111,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2011940,20-Apr,Apr,20,996.7021397946851,냉장,B2B,121190130,X,C
155920,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2026165,20-Apr,Apr,20,1276.9909695795282,상온,B2B,997130100,X,C
110932,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2013042,20-Jan,Jan,20,1276.9909695795282,상온,B2B,270110120,X,C
63413,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1018748,20-Apr,Apr,20,482.3140246231083,상온,B2C,110130200,X,B
82174,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1103831,20-Mar,Mar,20,1276.9909695795282,상온,B2B,370130110,X,C
148756,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2025531,20-Apr,Apr,20,-664.216470219367,냉동,B2C,222190100,X,B
83376,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1103285,20-Jan,Jan,20,-760.23418380231,냉장,B2C,440250130,X,C
38499,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1013271,20-Apr,Apr,20,1276.9909695795282,상온,B2B,997170180,X,C
137312,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2015647,20-Mar,Mar,20,130.46047473705266,냉동,B2B,420130100,X,C
35093,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1012358,20-May,May,20,1958.9615184352601,냉장,B2B,330110170,X,B
15140,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1006105,20-Apr,Apr,20,202.02519483826512,냉장,B2C,440300110,X,B
137310,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2015647,20-Jan,Jan,20,130.46047473705266,냉동,B2B,420130100,X,C
7805,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1003705,20-May,May,20,84.06529648502101,상온,미지정,110100120,O,C
156509,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2026291,20-Feb,Feb,20,996.7021397946851,냉장,B2B,997490120,X,C
46757,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1017033,20-May,May,20,4063.156772785732,상온,미지정,110110100,O,A
30509,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1010096,20-Jan,Jan,20,996.7021397946851,냉장,B2B,440290190,X,C
70833,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020550,20-Apr,Apr,20,-479.9453540174668,상온,B2C,121210170,X,C
156688,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2025830,20-Apr,Apr,20,-479.9453540174668,상온,B2C,997630170,X,C
13370,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1006253,20-Apr,Apr,20,3782.8679430008888,냉장,미지정,440250120,O,A
55718,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1018179,20-Jan,Jan,20,5256.082445880239,상온,B2B,121120130,X,A
95204,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2010765,20-Feb,Feb,20,1276.9909695795282,상온,B2B,150100100,X,C
156451,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2026258,20-Feb,Feb,20,996.7021397946851,냉장,B2B,997490120,X,C
37945,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1013540,20-Feb,Feb,20,1958.9615184352601,냉장,B2B,440260110,X,B
65750,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1019770,20-May,May,20,-664.216470219367,냉동,B2C,222220100,X,B
146386,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2024298,20-Feb,Feb,20,996.7021397946851,냉장,B2B,121140100,X,C
51662,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1016530,20-Feb,Feb,20,996.7021397946851,냉장,B2B,440250110,X,C
132222,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2016033,20-Apr,Apr,20,482.3140246231083,상온,B2C,121210100,X,B
53835,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1015903,20-Feb,Feb,20,1276.9909695795282,상온,B2B,997170140,X,C
16950,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1008414,20-May,May,20,482.3140246231083,상온,B2C,110130100,X,B
71809,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020798,20-Jan,Jan,20,1092.7198533776277,냉동,B2B,270120140,X,B
149521,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2021816,20-Jan,Jan,20,84.06529648502101,상온,미지정,224190100,O,C
45904,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1014776,20-Mar,Mar,20,996.7021397946851,냉장,B2B,440290190,X,C
68593,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1019490,20-May,May,20,202.02519483826512,냉장,B2C,440250130,X,B
43970,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1014990,20-Apr,Apr,20,996.7021397946851,냉장,B2B,440250110,X,C
139541,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2021455,20-Jan,Jan,20,2239.250348220103,상온,B2B,121190130,X,B
71585,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020870,20-Jan,Jan,20,1092.7198533776277,냉동,B2B,222240120,X,B
83422,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1103286,20-May,May,20,-760.23418380231,냉장,B2C,440250130,X,C
154493,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2103310,20-May,May,20,130.46047473705266,냉동,B2B,222160150,X,C
66229,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020062,20-Jan,Jan,20,84.06529648502101,상온,미지정,286120100,O,C
20659,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1009772,20-Feb,Feb,20,987.1672650813048,상온,미지정,370130110,X,B
155836,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2026047,20-Feb,Feb,20,-664.216470219367,냉동,B2C,996300110,X,B
156012,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2026176,20-May,May,20,1276.9909695795282,상온,B2B,997170100,X,C
155968,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,2103263,20-Mar,Mar,20,1276.9909695795282,상온,B2B,997150100,X,C
42573,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1014865,20-Apr,Apr,20,482.3140246231083,상온,B2C,286120150,X,B
73137,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020705,20-Mar,Mar,20,706.8784352964617,냉장,미지정,390150110,X,B
65641,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1019260,20-Feb,Feb,20,2352.6156274407685,냉동,B2C,222220100,X,A
73199,"OLS_Least Squares_Wed, 24 Mar 2021",DAESANG,RD,1020637,20-May,May,20,-255.38094334411335,냉장,미지정,390150120,X,C
