,모델 버전,index,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
0,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",65642,DAESANG,RD,1019260,20-Mar,Mar,20,982.2831909470665,냉동,B2C,222220100,X,A
1,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",65698,DAESANG,RD,1019746,20-Mar,Mar,20,1415.8121749013476,냉동,B2C,222220100,X,A
2,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",65723,DAESANG,RD,1019747,20-Mar,Mar,20,1614.849266454285,냉동,B2C,222220100,X,A
3,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",65814,DAESANG,RD,1020019,20-Mar,Mar,20,1706.2290017894206,냉동,B2C,222220100,X,A
4,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",65835,DAESANG,RD,1020111,20-Mar,Mar,20,1748.1822677097002,냉동,B2C,222220100,X,A
5,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",71544,DAESANG,RD,1021511,20-Mar,Mar,20,1767.4433928915867,냉동,B2C,222220100,X,A
6,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",78489,DAESANG,RD,1103663,20-Mar,Mar,20,1776.2863502903565,냉동,B2C,222140100,X,A
7,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",78985,DAESANG,RD,1103666,20-Mar,Mar,20,1780.346232297146,냉동,B2C,222140120,X,A
8,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",79059,DAESANG,RD,1103671,20-Mar,Mar,20,1782.2101609768595,냉동,B2C,222140120,X,A
9,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",79096,DAESANG,RD,1103674,20-Mar,Mar,20,1783.0659075520675,냉동,B2C,222140120,X,A
10,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",86311,DAESANG,RD,2007583,20-Mar,Mar,20,1783.4587885721144,냉동,B2C,222120100,X,A
11,"SARIMAX(1, 0, 0)_Fri, 12 Mar 2021_15:22:40",95762,DAESANG,RD,2010341,20-Mar,Mar,20,1783.6391638144873,냉동,B2C,222120130,X,A
