,모델,c0,c1,c2,c3,c4,c5,c6
,모델 버전,index,coef,std err,t,P>|t|,[0.025,0.975]
0,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_1_냉동,-88.0447,591.491,-0.149,0.882,-1247.683,1071.594
1,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_1_냉장,465.894,586.112,0.795,0.42700000000000005,-683.199,1614.987
2,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_1_상온,518.985,585.637,0.8859999999999999,0.376,-629.1759999999999,1667.146
3,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_1_전분당:포장,222.9124,2431.908,0.092,0.927,-4544.928,4990.753
4,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_2_B2B,750.6791,232.771,3.225,0.001,294.323,1207.035
5,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_2_B2C,95.3954,227.828,0.419,0.675,-351.269,542.059
6,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_2_미지정,273.6723,254.747,1.074,0.28300000000000003,-225.769,773.113
7,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_4_A,1432.9913,254.93099999999998,5.621,0.0,933.189,1932.793
8,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_4_B,-393.1246,208.03099999999998,-1.89,0.059000000000000004,-800.977,14.728
9,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_4_C,-766.1944,174.232,-4.398,0.0,-1107.781,-424.60699999999997
10,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_4_O,394.4396,284.527,1.386,0.166,-163.385,952.2639999999999
11,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_4_X,451.6349,239.34400000000002,1.8869999999999998,0.059000000000000004,-17.608,920.878
12,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_5_0,273.6723,254.747,1.074,0.28300000000000003,-225.769,773.113
13,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_5_A,2190.5983,174.018,12.588,0.0,1849.4289999999999,2531.7670000000003
14,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_5_B,-368.7544,169.602,-2.174,0.03,-701.2639999999999,-36.245
15,"OLS_Least Squares_Fri, 12 Mar 2021",FEATURE_5_C,-975.7695,162.082,-6.02,0.0,-1293.536,-658.003
