PART,모델 버전,예측값,FEATURE_1,FEATURE_2,FEATURE_4,FEATURE_5
1018520,"OLS_Least Squares_Fri, 12 Mar 2021",644.169864656011,냉장,B2C,X,B
1018526,"OLS_Least Squares_Fri, 12 Mar 2021",1299.4535781523348,냉장,B2B,X,B
1018527,"OLS_Least Squares_Fri, 12 Mar 2021",620.1139366996754,냉장,미지정,B,0
1018528,"OLS_Least Squares_Fri, 12 Mar 2021",620.1139366996754,냉장,미지정,B,0
1018563,"OLS_Least Squares_Fri, 12 Mar 2021",247.04412560625087,냉장,미지정,C,0
1018564,"OLS_Least Squares_Fri, 12 Mar 2021",90.23108435772986,냉동,B2C,X,B
1018586,"OLS_Least Squares_Fri, 12 Mar 2021",3203.5224994650675,냉장,B2C,X,A
1018591,"OLS_Least Squares_Fri, 12 Mar 2021",1299.4535781523348,냉장,B2B,X,B
1018597,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1018602,"OLS_Least Squares_Fri, 12 Mar 2021",247.04412560625087,냉장,미지정,C,0
1018787,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1018788,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1018817,"OLS_Least Squares_Fri, 12 Mar 2021",1299.4535781523348,냉장,B2B,X,B
1018819,"OLS_Least Squares_Fri, 12 Mar 2021",90.24571972507852,상온,B2C,X,C
1018820,"OLS_Least Squares_Fri, 12 Mar 2021",697.2607960328169,상온,B2C,X,B
1018896,"OLS_Least Squares_Fri, 12 Mar 2021",37.15478834827263,냉장,B2C,X,C
1018913,"OLS_Least Squares_Fri, 12 Mar 2021",3256.613430841873,상온,B2C,X,A
1018934,"OLS_Least Squares_Fri, 12 Mar 2021",37.15478834827263,냉장,B2C,X,C
1018936,"OLS_Least Squares_Fri, 12 Mar 2021",3858.8062129613913,냉장,B2B,X,A
1018937,"OLS_Least Squares_Fri, 12 Mar 2021",3203.5224994650675,냉장,B2C,X,A
1019006,"OLS_Least Squares_Fri, 12 Mar 2021",3203.5224994650675,냉장,B2C,X,A
1019013,"OLS_Least Squares_Fri, 12 Mar 2021",3858.8062129613913,냉장,B2B,X,A
1019020,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1019021,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1019028,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
1019058,"OLS_Least Squares_Fri, 12 Mar 2021",90.24571972507852,상온,B2C,X,C
1019059,"OLS_Least Squares_Fri, 12 Mar 2021",620.1139366996754,냉장,미지정,B,0
1019060,"OLS_Least Squares_Fri, 12 Mar 2021",247.04412560625087,냉장,미지정,C,0
1019061,"OLS_Least Squares_Fri, 12 Mar 2021",90.24571972507852,상온,B2C,X,C
1019098,"OLS_Least Squares_Fri, 12 Mar 2021",90.24571972507852,상온,B2C,X,C
1019118,"OLS_Least Squares_Fri, 12 Mar 2021",300.13505698305676,상온,미지정,C,0
