,MONTH_NO,QTY
0,2015-01-01,404.0
1,2015-02-01,257.0
2,2015-03-01,409.0
3,2015-04-01,402.0
4,2015-05-01,367.0
5,2015-06-01,492.99999999999994
6,2015-07-01,368.0
7,2015-08-01,490.0
8,2015-09-01,389.0
9,2015-10-01,316.0
10,2015-11-01,353.0
11,2015-12-01,302.0
12,2016-01-01,485.99999999999994
13,2016-02-01,267.0
14,2016-03-01,282.0
15,2016-04-01,227.00000000000003
16,2016-05-01,324.0
17,2016-06-01,254.0
18,2016-07-01,334.0
19,2016-08-01,363.0
20,2016-09-01,251.0
21,2016-10-01,344.0
22,2016-11-01,835.0
23,2016-12-01,140.0
24,2017-01-01,228.0
25,2017-02-01,189.0
26,2017-03-01,181.0
27,2017-04-01,259.0
28,2017-05-01,208.0
29,2017-06-01,173.0
30,2017-07-01,226.0
31,2017-08-01,166.0
32,2017-09-01,209.0
33,2017-10-01,239.0
34,2017-11-01,324.0
35,2017-12-01,130.0
36,2018-01-01,196.0
37,2018-02-01,86.0
38,2018-03-01,167.0
39,2018-04-01,205.0
40,2018-05-01,184.0
41,2018-06-01,156.0
42,2018-07-01,200.0
43,2018-08-01,137.0
44,2018-09-01,129.0
45,2018-10-01,223.0
46,2018-11-01,162.0
47,2018-12-01,206.0
48,2019-01-01,168.0
49,2019-02-01,137.0
50,2019-03-01,172.0
51,2019-04-01,260.0
52,2019-05-01,172.0
53,2019-06-01,228.0
54,2019-07-01,203.0
55,2019-08-01,181.0
56,2019-09-01,176.0
57,2019-10-01,182.0
58,2019-11-01,198.0
59,2019-12-01,214.0
60,2020-01-01,248.64906817674637
61,2020-02-01,278.60657826066017
62,2020-03-01,228.34474951028824
63,2020-04-01,221.49407505989075
64,2020-05-01,88.23744043707848
