,new_Predicted
155445,1222.2634
110294,755.5551
71344,833.61914
64362,1483.1238
140079,1483.1238
151692,1118.1313
73981,1442.2998
109170,975.59143
134611,471.03217
152068,833.61914
153490,1226.3628
147469,978.5752
156185,1338.1677
72496,1593.7473
111257,1222.2634
89187,1077.3075
52992,934.76746
14711,714.7312
125765,1483.1238
46891,1634.5713
72477,1442.2998
122255,1077.3075
24419,1634.5713
21561,930.6669
70524,1077.3075
154731,1053.6554
54163,1483.1238
70620,1118.1313
101745,1263.0874
57498,1489.6152
23264,1483.1238
72729,1483.1238
91746,1077.3075
26925,1118.1313
114776,714.7312
148192,833.61914
56766,1263.0874
13666,714.7312
92911,1297.3438
107420,1593.7473
85669,1077.3075
80182,1483.1238
57905,833.61914
38092,714.7312
84342,934.76746
59830,1593.7473
155156,1047.1517
69717,1118.1313
102979,1483.1238
5369,1634.5713
