index,모델 버전,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
140786,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2017504,20-Apr,Apr,20,0.016460831418670552,냉동,미지정,222160130,X,C
43676,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1014887,20-Mar,Mar,20,0.05718329171247572,냉장,B2B,440250110,X,C
72819,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1020610,20-May,May,20,0.010926162306048131,상온,B2C,365110210,O,C
123034,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2013485,20-Apr,Apr,20,0.029095539290723074,상온,B2C,430100110,X,C
156193,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2026407,20-Apr,Apr,20,0.04218552539404024,상온,B2B,997190120,X,C
155883,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2026052,20-May,May,20,0.010992964128557494,냉동,B2C,996300150,X,C
60070,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1017771,20-May,May,20,0.7032589988430762,냉장,B2C,440260100,X,A
112121,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2012695,20-Apr,Apr,20,0.016073492139288593,냉동,B2B,330190110,X,C
155343,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2026069,20-Mar,Mar,20,0.016073492139288593,냉동,B2B,420120140,X,C
152427,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2023429,20-Feb,Feb,20,0.05718329171247572,냉장,B2B,420130100,X,C
63374,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1020052,20-Feb,Feb,20,0.12203742525595701,상온,B2C,110130130,X,B
143276,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2021285,20-Feb,Feb,20,0.04902865488601652,냉동,B2C,330120100,X,B
21775,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1009979,20-Feb,Feb,20,0.05718329171247572,냉장,B2B,440250110,X,C
34702,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1012328,20-Apr,Apr,20,0.21955814453495026,냉장,B2B,330110100,X,B
144067,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2021541,20-May,May,20,0.043174501594987265,상온,미지정,390110100,X,C
152730,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2023718,20-May,May,20,0.05718329171247572,냉장,B2B,420130110,X,C
92974,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2010527,20-Jan,Jan,20,0.16963589408271312,상온,B2B,121140110,X,B
34191,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1012625,20-Apr,Apr,20,0.6324864798224306,상온,B2C,286120170,X,A
147775,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2022754,20-Apr,Apr,20,0.016073492139288593,냉동,B2B,222140130,X,C
55804,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1017958,20-May,May,20,0.12203742525595701,상온,B2C,121160160,X,B
150873,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2025523,20-Mar,Mar,20,0.12203742525595701,상온,B2C,290120110,X,B
17337,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1007924,20-Feb,Feb,20,0.7166622450360778,상온,B2B,121120150,X,A
28541,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1011856,20-Jan,Jan,20,0.6324864798224306,상온,B2C,360180100,X,A
132180,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2016032,20-Jan,Jan,20,0.12203742525595701,상온,B2C,121210100,X,B
94278,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2011204,20-May,May,20,0.05718329171247572,냉장,B2B,121190130,X,C
52347,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1016843,20-Apr,Apr,20,0.03963212454617043,냉장,B2C,440250130,X,C
147103,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2022691,20-May,May,20,0.04218552539404024,상온,B2B,150100100,X,C
75996,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1020807,20-Apr,Apr,20,0.05718329171247572,냉장,B2B,440280110,X,C
107796,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2012179,20-Jan,Jan,20,0.6324864798224306,상온,B2C,993300110,X,A
77121,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1103783,20-May,May,20,0.6324864798224306,상온,B2C,100120130,X,A
69545,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1021522,20-Jan,Jan,20,0.3881567359479101,상온,B2C,110110100,O,A
148629,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2024303,20-May,May,20,0.04902865488601652,냉동,B2C,222190100,X,B
13199,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1006147,20-Apr,Apr,20,0.09604152038692337,냉장,미지정,440250120,O,B
155342,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2026066,20-May,May,20,0.016073492139288593,냉동,B2B,420120140,X,C
73306,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1020834,20-Mar,Mar,20,0.04218552539404024,상온,B2B,430100210,X,C
68664,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1019938,20-Jan,Jan,20,0.03963212454617043,냉장,B2C,440250130,X,C
14137,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1006057,20-Feb,Feb,20,0.7032589988430762,냉장,B2C,440280100,X,A
155600,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2025874,20-Mar,Mar,20,0.029095539290723074,상온,B2C,996100120,X,C
106686,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2011494,20-Jan,Jan,20,0.03963212454617043,냉장,B2C,450120100,X,C
27773,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1012213,20-Feb,Feb,20,0.4840459655450132,냉동,B2B,330130100,X,A
67175,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1019143,20-Feb,Feb,20,0.07043589603706073,냉동,B2B,330130110,X,B
148614,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2024302,20-Apr,Apr,20,0.04902865488601652,냉동,B2C,222190100,X,B
114603,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2013182,20-Apr,Apr,20,0.022392770551283525,냉장,미지정,450120100,O,C
80053,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2000570,20-Mar,Mar,20,0.6324864798224306,상온,B2C,230130110,X,A
44363,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1015244,20-May,May,20,0.05718329171247572,냉장,B2B,440250110,X,C
119907,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2014055,20-May,May,20,0.16963589408271312,상온,B2B,230130160,X,B
2648,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1001064,20-Jan,Jan,20,0.7166622450360778,상온,B2B,160100100,X,A
73669,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1020223,20-May,May,20,0.05718329171247572,냉장,B2B,440250110,X,C
106429,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,2011365,20-Apr,Apr,20,0.09604152038692342,냉장,미지정,450110110,O,B
73821,"Logit_MLE_Mon, 29 Mar 2021",DAESANG,RD,1103153,20-Apr,Apr,20,0.5681168648517129,냉장,미지정,440250120,O,A
