,모델,c0,c1,c2,c3,c4,c5,c6
,모델 버전,index,coef,std err,t,P>|t|,[0.025,0.975]
0,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_1_냉동,-199.7009,1348.16,-0.148,0.882,-2853.043,2453.641
1,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_1_냉장,353.8898,815.82,0.434,0.665,-1251.744,1959.523
2,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_1_상온,1163.5312,802.923,1.449,0.148,-416.718,2743.78
3,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_2_B2B,2206.9476,1070.105,2.062,0.04,100.852,4313.043
4,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_2_B2C,-995.8761,1041.857,-0.956,0.34,-3046.378,1054.625
5,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_2_미지정,106.6486,1409.085,0.076,0.94,-2666.602,2879.899
6,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_4_O,521.6451,1465.675,0.356,0.722,-2362.98,3406.27
7,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_4_X,796.075,1048.595,0.759,0.448,-1267.688,2859.838
8,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_5_A,3973.5487,923.211,4.304,0.0,2156.558,5790.54
9,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_5_B,-842.3883,862.358,-0.977,0.329,-2539.613,854.837
10,"OLS_Least Squares_Mon, 29 Mar 2021",FEATURE_5_C,-1813.4403,783.358,-2.315,0.021,-3355.184,-271.697
