,모델 버전,index,Predicted
0,0x0000012C6E1B30D0,75982,0.0
1,0x0000012C6E1B30D0,65365,0.0
2,0x0000012C6E1B30D0,94509,0.0
3,0x0000012C6E1B30D0,12454,0.0
4,0x0000012C6E1B30D0,102526,0.0
5,0x0000012C6E1B30D0,151988,0.0
6,0x0000012C6E1B30D0,152711,0.0
7,0x0000012C6E1B30D0,107594,0.0
8,0x0000012C6E1B30D0,139544,0.0
9,0x0000012C6E1B30D0,63724,0.0
10,0x0000012C6E1B30D0,67758,0.0
11,0x0000012C6E1B30D0,62082,0.0
12,0x0000012C6E1B30D0,82155,0.0
13,0x0000012C6E1B30D0,153905,0.0
14,0x0000012C6E1B30D0,65917,0.0
15,0x0000012C6E1B30D0,12940,0.0
16,0x0000012C6E1B30D0,3819,0.0
17,0x0000012C6E1B30D0,84500,0.0
18,0x0000012C6E1B30D0,39485,0.0
19,0x0000012C6E1B30D0,66273,0.0
20,0x0000012C6E1B30D0,88468,0.0
21,0x0000012C6E1B30D0,10362,0.0
22,0x0000012C6E1B30D0,75854,0.0
23,0x0000012C6E1B30D0,154152,0.0
24,0x0000012C6E1B30D0,4783,0.0
25,0x0000012C6E1B30D0,98327,0.0
26,0x0000012C6E1B30D0,134170,0.0
27,0x0000012C6E1B30D0,20140,0.0
28,0x0000012C6E1B30D0,78141,0.0
29,0x0000012C6E1B30D0,155676,0.0
30,0x0000012C6E1B30D0,155365,0.0
31,0x0000012C6E1B30D0,118927,0.0
32,0x0000012C6E1B30D0,155034,0.0
33,0x0000012C6E1B30D0,43924,0.0
34,0x0000012C6E1B30D0,155437,0.0
35,0x0000012C6E1B30D0,62613,0.0
36,0x0000012C6E1B30D0,154797,0.0
37,0x0000012C6E1B30D0,26924,0.0
38,0x0000012C6E1B30D0,60814,0.0
39,0x0000012C6E1B30D0,73982,0.0
40,0x0000012C6E1B30D0,155716,0.0
41,0x0000012C6E1B30D0,154890,0.0
42,0x0000012C6E1B30D0,126600,0.0
43,0x0000012C6E1B30D0,21364,0.0
44,0x0000012C6E1B30D0,130317,0.0
45,0x0000012C6E1B30D0,44576,0.0
46,0x0000012C6E1B30D0,72958,0.0
47,0x0000012C6E1B30D0,53939,0.0
48,0x0000012C6E1B30D0,70442,0.0
49,0x0000012C6E1B30D0,149379,0.0
