,모델 버전,index,Predicted
0,210329_103049_XGBRegressor,76953,315.9866
1,210329_103049_XGBRegressor,155894,550.9065
2,210329_103049_XGBRegressor,8127,2883.491
3,210329_103049_XGBRegressor,156393,369.07968
4,210329_103049_XGBRegressor,154832,572.34064
5,210329_103049_XGBRegressor,154547,2157.6438
6,210329_103049_XGBRegressor,70062,637.6483
7,210329_103049_XGBRegressor,44703,1069.7305
8,210329_103049_XGBRegressor,87212,260.64777
9,210329_103049_XGBRegressor,72983,540.0713
10,210329_103049_XGBRegressor,153535,3319.756
11,210329_103049_XGBRegressor,156445,369.07968
12,210329_103049_XGBRegressor,92049,1069.7305
13,210329_103049_XGBRegressor,149687,2883.491
14,210329_103049_XGBRegressor,142877,550.9065
15,210329_103049_XGBRegressor,148940,650.7286
16,210329_103049_XGBRegressor,32276,550.9065
17,210329_103049_XGBRegressor,78613,912.91425
18,210329_103049_XGBRegressor,75691,369.07968
19,210329_103049_XGBRegressor,84255,369.07968
20,210329_103049_XGBRegressor,59911,315.9866
21,210329_103049_XGBRegressor,148557,221.70433
22,210329_103049_XGBRegressor,152281,912.91425
23,210329_103049_XGBRegressor,20595,637.6483
24,210329_103049_XGBRegressor,68124,1044.0424
25,210329_103049_XGBRegressor,155783,1069.7305
26,210329_103049_XGBRegressor,55486,331.84576
27,210329_103049_XGBRegressor,79282,260.64777
28,210329_103049_XGBRegressor,156216,550.9065
29,210329_103049_XGBRegressor,85539,540.0713
30,210329_103049_XGBRegressor,9752,331.84576
31,210329_103049_XGBRegressor,23267,637.6483
32,210329_103049_XGBRegressor,132181,637.6483
33,210329_103049_XGBRegressor,52904,1069.7305
34,210329_103049_XGBRegressor,88075,540.0713
35,210329_103049_XGBRegressor,142145,331.84576
36,210329_103049_XGBRegressor,142113,2883.491
37,210329_103049_XGBRegressor,153459,816.874
38,210329_103049_XGBRegressor,43102,3319.756
39,210329_103049_XGBRegressor,25003,2883.491
40,210329_103049_XGBRegressor,16885,4615.085
41,210329_103049_XGBRegressor,40062,4615.085
42,210329_103049_XGBRegressor,47952,331.84576
43,210329_103049_XGBRegressor,68216,382.95776
44,210329_103049_XGBRegressor,46630,331.84576
45,210329_103049_XGBRegressor,51956,1069.7305
46,210329_103049_XGBRegressor,152578,369.07968
47,210329_103049_XGBRegressor,54630,2883.491
48,210329_103049_XGBRegressor,11010,2883.491
49,210329_103049_XGBRegressor,151864,351.72638
