,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_3,FEATURE_1_냉동,FEATURE_1_냉장,FEATURE_1_상온,FEATURE_1_전분당:포장,FEATURE_2_B2B,FEATURE_2_B2C,FEATURE_2_미지정,FEATURE_4_O,FEATURE_4_X,FEATURE_5_A,FEATURE_5_B,FEATURE_5_C,abs_sum
344,DAESANG,TD,1008082,15-Jan,Jan,15,4578,330130100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
607,DAESANG,TD,1014561,15-Jan,Jan,15,93,330130100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
608,DAESANG,TD,1013188,15-Jan,Jan,15,400,330130110,1,0,0,0,1,0,0,0,1,0,0,1,0.0
714,DAESANG,TD,1015046,17-Jun,Jun,17,222,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
877,DAESANG,TD,1016030,15-Jun,Jun,15,30,330110110,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1060,DAESANG,TD,1018031,17-Jun,Jun,17,0,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1080,DAESANG,TD,1017978,16-Nov,Nov,16,90,330120160,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1081,DAESANG,TD,1018057,16-Dec,Dec,16,48,330120160,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1082,DAESANG,TD,1018059,16-Dec,Dec,16,63,330120160,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1083,DAESANG,TD,1018332,17-Mar,Mar,17,18,330120160,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1302,DAESANG,TD,1019188,17-Oct,Oct,17,696,222140100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1303,DAESANG,TD,1019203,17-Oct,Oct,17,75,222140100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1304,DAESANG,TD,1019206,17-Nov,Nov,17,160,222140100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1305,DAESANG,TD,1019211,17-Oct,Oct,17,0,222140100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1306,DAESANG,TD,1019003,17-Jul,Jul,17,200,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1310,DAESANG,TD,1019189,17-Sep,Sep,17,25,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1311,DAESANG,TD,1019191,17-Sep,Sep,17,30,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1312,DAESANG,TD,1019193,17-Oct,Oct,17,173,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1315,DAESANG,TD,1019212,17-Nov,Nov,17,91,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1316,DAESANG,TD,1019213,17-Oct,Oct,17,109,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1318,DAESANG,TD,1019999,18-Aug,Aug,18,10,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1321,DAESANG,TD,1019187,17-Sep,Sep,17,72,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1322,DAESANG,TD,1019197,17-Oct,Oct,17,309,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1323,DAESANG,TD,1019200,17-Oct,Oct,17,56,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1324,DAESANG,TD,1019202,17-Oct,Oct,17,71,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1325,DAESANG,TD,1019209,17-Oct,Oct,17,64,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1326,DAESANG,TD,1019210,17-Oct,Oct,17,111,222140130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1333,DAESANG,TD,1020102,18-Jul,Jul,18,355.0,222140140,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1334,DAESANG,TD,1020103,18-Aug,Aug,18,24.0,222140140,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1335,DAESANG,TD,1020112,18-Nov,Nov,18,9.0,222140140,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1395,DAESANG,TD,1019224,17-Oct,Oct,17,129.0,330120160,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1400,DAESANG,TD,1019538,18-Mar,Mar,18,20.0,330130110,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1638,DAESANG,RD,1021729,20-May,May,20,,121190130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1639,DAESANG,RD,1021730,20-May,May,20,,121190130,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1683,DAESANG,RD,1021681,20-Feb,Feb,20,,222140100,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1684,DAESANG,TD,1020511,19-Feb,Feb,19,42.0,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1685,DAESANG,TD,1020512,19-Feb,Feb,19,25.0,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
1687,DAESANG,TD,1021349,19-Aug,Aug,19,8.0,222140120,1,0,0,0,1,0,0,0,1,0,0,1,0.0
