,A_B_Distance,A_PART,A_FEATURE_1,A_FEATURE_2,A_FEATURE_4,A_FEATURE_5,B_PART,B_FEATURE_1,B_FEATURE_2,B_FEATURE_4,B_FEATURE_5,B_MONTH_NO,B_QTY
20403,0.0,2026376,냉동,B2B,X,C,1008082,냉동,B2B,X,C,15-Jan,4578
35604,0.0,2026376,냉동,B2B,X,C,1014561,냉동,B2B,X,C,15-Jan,93
35669,0.0,2026376,냉동,B2B,X,C,1013188,냉동,B2B,X,C,15-Jan,400
41384,0.0,2026376,냉동,B2B,X,C,1015046,냉동,B2B,X,C,17-Jun,222
49401,0.0,2026376,냉동,B2B,X,C,1016030,냉동,B2B,X,C,15-Jun,30
57108,0.0,2026376,냉동,B2B,X,C,1018031,냉동,B2B,X,C,17-Jun,0
57865,0.0,2026376,냉동,B2B,X,C,1017978,냉동,B2B,X,C,16-Nov,90
57908,0.0,2026376,냉동,B2B,X,C,1018057,냉동,B2B,X,C,16-Dec,48
57948,0.0,2026376,냉동,B2B,X,C,1018059,냉동,B2B,X,C,16-Dec,63
57985,0.0,2026376,냉동,B2B,X,C,1018332,냉동,B2B,X,C,17-Mar,18
64659,0.0,2026376,냉동,B2B,X,C,1019188,냉동,B2B,X,C,17-Oct,696
64691,0.0,2026376,냉동,B2B,X,C,1019203,냉동,B2B,X,C,17-Oct,75
64723,0.0,2026376,냉동,B2B,X,C,1019206,냉동,B2B,X,C,17-Nov,160
64754,0.0,2026376,냉동,B2B,X,C,1019211,냉동,B2B,X,C,17-Oct,0
64786,0.0,2026376,냉동,B2B,X,C,1019003,냉동,B2B,X,C,17-Jul,200
64910,0.0,2026376,냉동,B2B,X,C,1019189,냉동,B2B,X,C,17-Sep,25
64943,0.0,2026376,냉동,B2B,X,C,1019191,냉동,B2B,X,C,17-Sep,30
64976,0.0,2026376,냉동,B2B,X,C,1019193,냉동,B2B,X,C,17-Oct,173
65072,0.0,2026376,냉동,B2B,X,C,1019212,냉동,B2B,X,C,17-Nov,91
65103,0.0,2026376,냉동,B2B,X,C,1019213,냉동,B2B,X,C,17-Oct,109
65159,0.0,2026376,냉동,B2B,X,C,1019999,냉동,B2B,X,C,18-Aug,10
65240,0.0,2026376,냉동,B2B,X,C,1019187,냉동,B2B,X,C,17-Sep,72
65273,0.0,2026376,냉동,B2B,X,C,1019197,냉동,B2B,X,C,17-Oct,309
65305,0.0,2026376,냉동,B2B,X,C,1019200,냉동,B2B,X,C,17-Oct,56
65337,0.0,2026376,냉동,B2B,X,C,1019202,냉동,B2B,X,C,17-Oct,71
65369,0.0,2026376,냉동,B2B,X,C,1019209,냉동,B2B,X,C,17-Oct,64
65401,0.0,2026376,냉동,B2B,X,C,1019210,냉동,B2B,X,C,17-Oct,111
65552,0.0,2026376,냉동,B2B,X,C,1020102,냉동,B2B,X,C,18-Jul,355.0
65574,0.0,2026376,냉동,B2B,X,C,1020103,냉동,B2B,X,C,18-Aug,24.0
65594,0.0,2026376,냉동,B2B,X,C,1020112,냉동,B2B,X,C,18-Nov,9.0
67047,0.0,2026376,냉동,B2B,X,C,1019224,냉동,B2B,X,C,17-Oct,129.0
67179,0.0,2026376,냉동,B2B,X,C,1019538,냉동,B2B,X,C,18-Mar,20.0
70692,0.0,2026376,냉동,B2B,X,C,1021729,냉동,B2B,X,C,20-May,
70693,0.0,2026376,냉동,B2B,X,C,1021730,냉동,B2B,X,C,20-May,
71264,0.0,2026376,냉동,B2B,X,C,1021681,냉동,B2B,X,C,20-Feb,
71268,0.0,2026376,냉동,B2B,X,C,1020511,냉동,B2B,X,C,19-Feb,42.0
71284,0.0,2026376,냉동,B2B,X,C,1020512,냉동,B2B,X,C,19-Feb,25.0
71310,0.0,2026376,냉동,B2B,X,C,1021349,냉동,B2B,X,C,19-Aug,8.0
71320,0.0,2026376,냉동,B2B,X,C,1021680,냉동,B2B,X,C,20-Feb,
71324,0.0,2026376,냉동,B2B,X,C,1021348,냉동,B2B,X,C,19-Aug,2.0
71334,0.0,2026376,냉동,B2B,X,C,1021350,냉동,B2B,X,C,19-Aug,1.0
71344,0.0,2026376,냉동,B2B,X,C,1021678,냉동,B2B,X,C,20-Feb,
71348,0.0,2026376,냉동,B2B,X,C,1021679,냉동,B2B,X,C,20-Feb,
71433,0.0,2026376,냉동,B2B,X,C,1020724,냉동,B2B,X,C,19-Mar,1.0
71534,0.0,2026376,냉동,B2B,X,C,1021267,냉동,B2B,X,C,20-Apr,
71554,0.0,2026376,냉동,B2B,X,C,1021606,냉동,B2B,X,C,20-Mar,
71557,0.0,2026376,냉동,B2B,X,C,1021761,냉동,B2B,X,C,20-Feb,
71560,0.0,2026376,냉동,B2B,X,C,1021875,냉동,B2B,X,C,20-Apr,
71562,0.0,2026376,냉동,B2B,X,C,1020869,냉동,B2B,X,C,19-Apr,4.0
71590,0.0,2026376,냉동,B2B,X,C,1020871,냉동,B2B,X,C,19-Apr,4.0
71604,0.0,2026376,냉동,B2B,X,C,1020872,냉동,B2B,X,C,19-Apr,3.0
71632,0.0,2026376,냉동,B2B,X,C,1021031,냉동,B2B,X,C,19-Jun,1.0
71644,0.0,2026376,냉동,B2B,X,C,1021322,냉동,B2B,X,C,19-Jul,240.0
71748,0.0,2026376,냉동,B2B,X,C,1020632,냉동,B2B,X,C,19-Jan,40.0
71813,0.0,2026376,냉동,B2B,X,C,1020878,냉동,B2B,X,C,19-Apr,10.0
71824,0.0,2026376,냉동,B2B,X,C,1020901,냉동,B2B,X,C,19-May,0.0
71844,0.0,2026376,냉동,B2B,X,C,1020910,냉동,B2B,X,C,19-May,1.0
71895,0.0,2026376,냉동,B2B,X,C,1021022,냉동,B2B,X,C,19-Jun,321.0
71938,0.0,2026376,냉동,B2B,X,C,1021300,냉동,B2B,X,C,20-Feb,
71950,0.0,2026376,냉동,B2B,X,C,1021347,냉동,B2B,X,C,19-Aug,0.0
71975,0.0,2026376,냉동,B2B,X,C,1021451,냉동,B2B,X,C,19-Oct,800.0
71983,0.0,2026376,냉동,B2B,X,C,1021518,냉동,B2B,X,C,19-Nov,86.0
71990,0.0,2026376,냉동,B2B,X,C,1021560,냉동,B2B,X,C,19-Nov,426.0
71993,0.0,2026376,냉동,B2B,X,C,1021610,냉동,B2B,X,C,20-Apr,
72021,0.0,2026376,냉동,B2B,X,C,1021743,냉동,B2B,X,C,20-Feb,
72032,0.0,2026376,냉동,B2B,X,C,1021112,냉동,B2B,X,C,19-Jul,2.0
72644,0.0,2026376,냉동,B2B,X,C,1021536,냉동,B2B,X,C,19-Nov,30.0
72651,0.0,2026376,냉동,B2B,X,C,1021909,냉동,B2B,X,C,20-Apr,
72652,0.0,2026376,냉동,B2B,X,C,1021998,냉동,B2B,X,C,20-May,
72963,0.0,2026376,냉동,B2B,X,C,1020730,냉동,B2B,X,C,19-Feb,18.0
72997,0.0,2026376,냉동,B2B,X,C,1021319,냉동,B2B,X,C,19-Sep,60.0
78080,0.0,2026376,냉동,B2B,X,C,2000854,냉동,B2B,X,C,15-Jan,735.0
78145,0.0,2026376,냉동,B2B,X,C,2001849,냉동,B2B,X,C,15-Jan,4716.0
78210,0.0,2026376,냉동,B2B,X,C,2002104,냉동,B2B,X,C,15-Jan,85.0
