,new_Predicted
69465,1338.1677
91596,1263.0874
147046,1263.0874
151746,755.5551
154519,833.61914
139334,1077.3075
148647,762.63947
88945,1593.7473
70034,1483.1238
30994,1118.1313
156784,833.61914
153186,1077.3075
155269,1077.3075
36361,1263.0874
108702,1483.1238
40321,1127.039
14311,934.76746
151399,1593.7473
156551,1077.3075
50025,975.59143
31555,755.5551
155125,833.61914
124401,1118.1313
58334,1118.1313
83679,1593.7473
63241,755.5551
6889,1634.5713
127388,1593.7473
14140,1593.7473
155924,1118.1313
2064,1489.6152
149286,1267.187
10490,1338.1677
72886,1483.1238
150755,1263.0874
139404,1077.3075
79476,1053.6554
153419,714.7312
69128,1077.3075
38433,1077.3075
84108,1593.7473
112119,833.61914
73452,1442.2998
64363,1483.1238
152527,1077.3075
72016,1297.3438
53978,1263.0874
71258,1263.0874
148766,1198.6115
81983,1593.7473
