index,모델 버전,PRJ_ID,DATA_TYPE,PART,MONTH_NO,MONTH,YEAR,QTY,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5
79597,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2006368,20-Feb,Feb,20,0.04669861355616323,냉동,B2B,222160130,X,C
116695,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2013976,20-Apr,Apr,20,0.078298732190981,냉장,B2B,121190130,X,C
73080,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1021543,20-May,May,20,0.16772839296883804,상온,B2C,380130100,O,C
34896,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1013477,20-Mar,Mar,20,0.17646545815398318,냉장,B2C,330110100,X,B
121492,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2013521,20-Jan,Jan,20,0.2366136492216908,냉장,B2B,330110110,X,B
17144,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1007782,20-Apr,Apr,20,0.6684204536067574,상온,B2C,121100140,X,A
82447,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2006374,20-Feb,Feb,20,0.04669861355616323,냉동,B2B,420120140,X,C
155893,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2026158,20-Jan,Jan,20,0.09066609119661845,상온,B2B,997105120,X,C
156388,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2026244,20-Jan,Jan,20,0.078298732190981,냉장,B2B,997410100,X,C
97508,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2011225,20-May,May,20,0.6684204536067574,상온,B2C,350190100,X,A
70706,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1021025,20-Feb,Feb,20,0.09066609119661845,상온,B2B,121200110,X,C
66957,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1019349,20-Jan,Jan,20,0.2366136492216908,냉장,B2B,330120100,X,B
70363,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1021427,20-Jan,Jan,20,0.6684204536067574,상온,B2C,121170160,X,A
151287,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,2023426,20-Apr,Apr,20,0.497590509153441,냉동,B2C,330120100,X,A
72126,"Logit_MLE_Wed, 24 Mar 2021",DAESANG,RD,1020890,20-Feb,Feb,20,0.6684204536067574,상온,B2C,286110120,X,A
