,모델,c0,c1,c2,c3,c4,c5,c6
,모델 버전,index,coef,std err,t,P>|t|,[0.025,0.975]
0,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_1_냉동,-343.1299,499.139,-0.687,0.492,-1325.495,639.236
1,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_1_냉장,523.1118,294.071,1.779,0.076,-55.656,1101.879
2,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_1_상온,803.4006,289.316,2.777,0.006,233.992,1372.809
3,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_2_B2B,1330.8006,387.313,3.436,0.001,568.522,2093.08
4,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_2_B2C,-426.1357,372.056,-1.145,0.253,-1158.387,306.116
5,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_2_미지정,78.7175,512.766,0.154,0.878,-930.469,1087.904
6,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_4_O,521.2699,498.884,1.045,0.297,-460.594,1503.133
7,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_4_X,462.1125,373.022,1.239,0.216,-272.04,1196.265
8,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_5_A,2659.7687,334.206,7.958,0.0,2002.01,3317.527
9,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_5_B,-357.0634,297.453,-1.2,0.231,-942.488,228.361
10,"OLS_Least Squares_Wed, 24 Mar 2021",FEATURE_5_C,-1319.3228,273.011,-4.832,0.0,-1856.641,-782.004
