,모델 버전,index,Predicted
0,0x000001D7A6C40460,155686,516.0386
1,0x000001D7A6C40460,148704,502.2908
2,0x000001D7A6C40460,127957,476.8787
3,0x000001D7A6C40460,71936,479.7018
4,0x000001D7A6C40460,70382,521.4547
5,0x000001D7A6C40460,156581,490.62643
6,0x000001D7A6C40460,26151,547.57135
7,0x000001D7A6C40460,20335,536.6467
8,0x000001D7A6C40460,117613,521.4547
9,0x000001D7A6C40460,155291,446.05045
10,0x000001D7A6C40460,148256,528.4075
11,0x000001D7A6C40460,143630,490.62643
12,0x000001D7A6C40460,154345,476.8787
13,0x000001D7A6C40460,10427,490.62643
14,0x000001D7A6C40460,148683,528.4075
15,0x000001D7A6C40460,127094,562.0588
16,0x000001D7A6C40460,105201,505.1139
17,0x000001D7A6C40460,73068,441.8849
18,0x000001D7A6C40460,155149,546.8668
19,0x000001D7A6C40460,147848,446.05045
20,0x000001D7A6C40460,155046,432.3633
21,0x000001D7A6C40460,135323,535.9422
22,0x000001D7A6C40460,52494,448.80594
23,0x000001D7A6C40460,66835,510.53006
24,0x000001D7A6C40460,48315,516.0386
25,0x000001D7A6C40460,19815,547.57135
26,0x000001D7A6C40460,122905,479.7018
27,0x000001D7A6C40460,55398,572.98346
28,0x000001D7A6C40460,147816,446.05045
29,0x000001D7A6C40460,59491,562.0588
30,0x000001D7A6C40460,66652,391.86105
31,0x000001D7A6C40460,66323,505.1139
32,0x000001D7A6C40460,154600,476.8787
33,0x000001D7A6C40460,41725,521.4547
34,0x000001D7A6C40460,37861,536.6467
35,0x000001D7A6C40460,113704,422.6893
36,0x000001D7A6C40460,154583,471.46255
37,0x000001D7A6C40460,52347,505.1139
38,0x000001D7A6C40460,138413,490.62643
39,0x000001D7A6C40460,156568,490.62643
40,0x000001D7A6C40460,154400,446.05045
41,0x000001D7A6C40460,30669,479.7018
42,0x000001D7A6C40460,154869,441.8849
43,0x000001D7A6C40460,83634,562.0588
44,0x000001D7A6C40460,71627,476.8787
45,0x000001D7A6C40460,10358,546.8668
46,0x000001D7A6C40460,84456,448.80594
47,0x000001D7A6C40460,1154,547.57135
48,0x000001D7A6C40460,146666,479.7018
49,0x000001D7A6C40460,155962,490.62643
